China,1420062022,15543710
United States,329093110,21410230
Japan,126854745,5362220
Germany,82438639,4416800
India,1368737513,3155230
France,65480710,3060070
United Kingdom,66959016,3022580
Italy,59216525,2261460
Brazil,212392717,2256850
Canada,37279811,1908530
South Korea,51339238,1777650
Russia,143895551,1754290
Spain,46441049,1583870
Australia,25088636,1581890
Mexico,132328035,1285080
Indonesia,269536482,1152890
Netherlands,17132908,994771
Turkey,82961805,961655
Switzerland,8608259,779327
Saudi Arabia,34140662,759219
Argentina,45101781,659694
Poland,38028278,649974
Sweden,10053135,628802
Taiwan,23758247,620600
Belgium,11562784,587699
Thailand,69306160,520074
Austria,8766201,503538
Nigeria,200962417,475566
Norway,5400916,460177
United Arab Emirates,9682088,427830
Iran,82820766,413114
Ireland,4847139,409225
Malaysia,32454455,402605
Israel,8583916,390656
Hong Kong,7490776,387983
South Africa,58065097,386853
Denmark,5775224,386403
Singapore,5868104,367783
Philippines,108106310,355744
Colombia,49849818,347027
Bangladesh,168065920,312794
Finland,5561389,304133
Chile,18336653,295844
Czech Republic,10630589,276961
Romania,19483360,265265
Vietnam,97429061,264939
Portugal,10254666,260353
Peru,32933835,246714
Greece,11124603,235836
New Zealand,4792409,235328
Iraq,40412299,233402
Algeria,42679018,208773
Qatar,2743901,193906
Kazakhstan,18592970,190469
Hungary,9655361,172827
Kuwait,4248974,140146
Morocco,36635156,129033
Ukraine,43795220,126721
Angola,31787566,121138
Slovakia,5450987,119875
Ecuador,17100444,109866
Sri Lanka,21018859,99651
Puerto Rico,3654978,96980
Kenya,52214791,95803
Venezuela,32779868,92417
Ethiopia,110135635,89727
Guatemala,17577842,87819
Oman,5001875,85636
Dominican Republic,10996774,84585
Luxembourg,596992,77436
Myanmar,54336138,74974
Panama,4226197,72371
Bulgaria,6988739,68490
Uruguay,3482156,66749
Costa Rica,4999384,64850
Croatia,4140148,63810
Tanzania,60913557,61660
Belarus,9433874,61522
Slovenia,2081900,60638
Lithuania,2864459,58215
Macau,642090,57573
Ghana,30096970,56725
Lebanon,6065922,56379
Ivory Coast,25531083,52979
Serbia,8733407,51304
Azerbaijan,10014575,47926
Uzbekistan,32807368,47892
Libya,6569864,46923
Turkmenistan,5942561,46401
Jordan,10069794,44794
Bolivia,11379861,43804
DR Congo,86727573,43663
Tunisia,11783168,41956
Cameroon,25312993,41748
Bahrain,1637896,39703
Latvia,1911108,38621
Paraguay,6981981,34615
Estonia,1303798,33267
Iceland,340566,31646
El Salvador,6445405,30709
Uganda,45711874,29690
Nepal,29942018,28750
Papua New Guinea,8586525,27411
Zambia,18137369,27217
Cambodia,16482646,26628
Cyprus,1198427,26359
Honduras,9568688,24823
Afghanistan,37209007,22925
Trinidad and Tobago,1375443,22533
Senegal,16743859,21722
Bosnia,3501774,21502
Zimbabwe,17297495,21067
Laos,7064242,20059
Botswana,2374636,19268
Mali,19689140,19247
Gabon,2109099,18096
Yemen,29579986,17452
Georgia,3904204,17433
Albania,2938428,16146
Malta,433245,16046
Burkina Faso,20321560,15867
Jamaica,2906339,15845
Nicaragua,6351157,15499
Mozambique,31408823,15017
Brunei,439336,14791
Mauritius,1271368,14217
Namibia,2641996,14071
Macedonia,2086720,13904
Mongolia,3166244,13786
Madagascar,26969642,13559
Bahamas,403095,12899
Armenia,2936706,12696
Chad,15814345,12240
Benin,11801595,12200
Guinea,13398180,11698
Equatorial Guinea,1360104,11386
Congo,5542197,10923
Niger,23176691,10717
Rwanda,12794412,10532
Moldova,4029750,9903
Haiti,11242856,9751
Somalia,15636171,8210
Tajikistan,9292000,8176
Kyrgyzstan,6218616,8029
Eritrea,5309659,7717
Malawi,19718743,7024
Togo,8186384,6078
Montenegro,629355,5862
Fiji,918757,5794
Mauritania,4661149,5540
Barbados,287010,5516
Maldives,451738,5169
Swaziland,1415414,4644
Burundi,11575964,4526
Suriname,573085,4226
Sierra Leone,7883123,3976
Guyana,786508,3911
Liberia,4977720,3534
Lesotho,2292682,3062
Timor-Leste,1352360,3029
South Sudan,13263184,2807
Bhutan,826229,2800
Djibouti,985690,2380
Central African Rep,4825711,2334
Cape Verde,560349,2099
Belize,390231,1987
San Marino,33683,1864
Saint Lucia,180454,1825
Guinea-Bissau,1953723,1728
Antigua and Barbuda,104084,1693
Seychelles,95702,1659
Solomon Islands,635254,1463
Grenada,108825,1249
Gambia,2228075,1159
Vanuatu,288017,1024
Saint Kitts,56345,1024
Samoa,198909,920
Saint Vincent,110488,871
Comoros,850910,781
Dominica,74679,542
Sao Tome,213379,489
Tonga,110041,454
Micronesia,106983,342
Palau,22206,341
Kiribati,120428,220
Marshall Islands,53211,211
Nauru,11260,114
Tuvalu,11393,45
